Regions Code,Passports held,Highest level of qualification,Observation
E12000005,1,1,367541
E12000005,1,2,542914
E12000005,1,3,679759
E12000005,1,4,1181219
E12000005,1,5,274780
E12000005,2,0,8099
E12000005,2,1,1883
E12000005,2,2,2551
E12000005,2,3,3699
E12000005,2,4,8837
E12000005,2,5,2408
E12000005,3,0,53763
E12000005,3,1,23078
E12000005,3,2,21594
E12000005,3,3,28743
E12000005,3,4,75544
E12000005,3,5,32534
E12000005,4,0,2175
E12000005,4,1,669
E12000005,4,2,617
E12000005,4,3,797
E12000005,4,4,3294
E12000005,4,5,886
E12000005,5,0,742
E12000005,5,1,323
E12000005,5,2,199
E12000005,5,3,201
E12000005,5,4,1941
E12000005,5,5,330
E12000005,6,0,2514
E12000005,6,1,1350
E12000005,6,2,1487
E12000005,6,3,1478
E12000005,6,4,8460
E12000005,6,5,1190
E12000005,7,0,1033
E12000005,7,1,802
E12000005,7,2,1168
E12000005,7,3,1742
E12000005,7,4,4373
E12000005,7,5,531
E12000005,8,0,1151
E12000005,8,1,427
E12000005,8,2,217
E12000005,8,3,257
E12000005,8,4,2054
E12000005,8,5,472
E12000005,9,0,1397
E12000005,9,1,432
E12000005,9,2,304
E12000005,9,3,655
E12000005,9,4,5040
E12000005,9,5,669
E12000005,10,0,28324
E12000005,10,1,9152
E12000005,10,2,4354
E12000005,10,3,4281
E12000005,10,4,26093
E12000005,10,5,8115
E12000005,11,0,1255
E12000005,11,1,544
E12000005,11,2,428
E12000005,11,3,600
E12000005,11,4,3576
E12000005,11,5,507
E12000005,12,0,19
E12000005,12,1,7
E12000005,12,2,8
E12000005,12,3,20
E12000005,12,4,96
E12000005,12,5,11
E12000005,13,0,393
E12000005,13,1,227
E12000005,13,2,351
E12000005,13,3,548
E12000005,13,4,3180
E12000005,13,5,362
E12000005,14,0,1719
E12000005,14,1,839
E12000005,14,2,840
E12000005,14,3,1144
E12000005,14,4,3098
E12000005,14,5,798
E12000005,15,0,208
E12000005,15,1,135
E12000005,15,2,193
E12000005,15,3,412
E12000005,15,4,1246
E12000005,15,5,213
E12000005,16,0,13
E12000005,16,1,15
E12000005,16,2,6
E12000005,16,3,3
E12000005,16,4,18
E12000005,16,5,9
E12000005,17,0,265665
E12000005,17,1,82307
E12000005,17,2,82443
E12000005,17,3,64383
E12000005,17,4,70650
E12000005,17,5,60892
E12000006,1,0,579613
E12000006,1,1,432031
E12000006,1,2,627179
E12000006,1,3,729361
E12000006,1,4,1334336
E12000006,1,5,310192
E12000006,2,0,7518
E12000006,2,1,2313
E12000006,2,2,3482
E12000006,2,3,5727
E12000006,2,4,15387
E12000006,2,5,3084
E12000006,3,0,64236
E12000006,3,1,28455
E12000006,3,2,26158
E12000006,3,3,36873
E12000006,3,4,116767
E12000006,3,5,40440
E12000006,4,0,3108
E12000006,4,1,981
E12000006,4,2,680
E12000006,4,3,1006
E12000006,4,4,5709
E12000006,4,5,1516
E12000006,5,0,510
E12000006,5,1,201
E12000006,5,2,183
E12000006,5,3,161
E12000006,5,4,1644
E12000006,5,5,311
E12000006,6,0,1813
E12000006,6,1,975
E12000006,6,2,1125
E12000006,6,3,1513
E12000006,6,4,9016
E12000006,6,5,922
E12000006,7,0,949
E12000006,7,1,994
E12000006,7,2,1404
E12000006,7,3,2494
E12000006,7,4,6117
E12000006,7,5,705
E12000006,8,0,427
E12000006,8,1,153
E12000006,8,2,120
E12000006,8,3,134
E12000006,8,4,1529
E12000006,8,5,198
E12000006,9,0,1120
E12000006,9,1,301
E12000006,9,2,306
E12000006,9,3,586
E12000006,9,4,6076
E12000006,9,5,609
E12000006,10,0,7709
E12000006,10,1,3377
E12000006,10,2,2182
E12000006,10,3,2541
E12000006,10,4,26687
E12000006,10,5,3084
E12000006,11,0,1855
E12000006,11,1,847
E12000006,11,2,736
E12000006,11,3,749
E12000006,11,4,7074
E12000006,11,5,819
E12000006,12,0,30
E12000006,12,1,10
E12000006,12,2,14
E12000006,12,3,28
E12000006,12,4,168
E12000006,12,5,14
E12000006,13,0,5094
E12000006,13,1,715
E12000006,13,2,1129
E12000006,13,3,1480
E12000006,13,4,12690
E12000006,13,5,1952
E12000006,14,0,1379
E12000006,14,1,782
E12000006,14,2,663
E12000006,14,3,939
E12000006,14,4,4106
E12000006,14,5,870
E12000006,15,0,352
E12000006,15,1,207
E12000006,15,2,404
E12000006,15,3,899
E12000006,15,4,3442
E12000006,15,5,366
E12000006,16,0,3
E12000006,16,1,8
E12000006,16,2,2
E12000006,16,3,3
E12000006,16,4,8
E12000006,16,5,2
E12000006,17,0,228765
E12000006,17,1,77494
E12000006,17,2,69585
E12000006,17,3,52010
E12000006,17,4,56179
E12000006,17,5,56441
E12000007,1,0,692983
E12000007,1,1,378583
E12000007,1,2,552198
E12000007,1,3,708873
E12000007,1,4,2366699
E12000007,1,5,250882
E12000007,2,0,21444
E12000007,2,1,5050
E12000007,2,2,7762
E12000007,2,3,14110
E12000007,2,4,56312
E12000007,2,5,7591
E12000007,3,0,174781
E12000007,3,1,75658
E12000007,3,2,74475
E12000007,3,3,110464
E12000007,3,4,462594
E12000007,3,5,103402
E12000007,4,0,14890
E12000007,4,1,4397
E12000007,4,2,3307
E12000007,4,3,5295
E12000007,4,4,37743
E12000007,4,5,7045
E12000007,5,0,2909
E12000007,5,1,1341
E12000007,5,2,813
E12000007,5,3,965
E12000007,5,4,6838
E12000007,5,5,1630
E12000007,6,0,9849
E12000007,6,1,5658
E12000007,6,2,6476
E12000007,6,3,8691
E12000007,6,4,32477
E12000007,6,5,5098
E12000007,7,0,2928
E12000007,7,1,2285
E12000007,7,2,2695
E12000007,7,3,4635
E12000007,7,4,16065
E12000007,7,5,1671
E12000007,8,0,3351
E12000007,8,1,993
E12000007,8,2,795
E12000007,8,3,1177
E12000007,8,4,10408
E12000007,8,5,1496
E12000007,9,0,5593
E12000007,9,1,1166
E12000007,9,2,1235
E12000007,9,3,3716
E12000007,9,4,38144
E12000007,9,5,2994
E12000007,10,0,42554
E12000007,10,1,18537
E12000007,10,2,11866
E12000007,10,3,12309
E12000007,10,4,99422
E12000007,10,5,16372
E12000007,11,0,6385
E12000007,11,1,2514
E12000007,11,2,2010
E12000007,11,3,3478
E12000007,11,4,25146
E12000007,11,5,2577
E12000007,12,0,200
E12000007,12,1,77
E12000007,12,2,109
E12000007,12,3,135
E12000007,12,4,1529
E12000007,12,5,155
E12000007,13,0,2489
E12000007,13,1,657
E12000007,13,2,1339
E12000007,13,3,3046
E12000007,13,4,41438
E12000007,13,5,2291
E12000007,14,0,14695
E12000007,14,1,6775
E12000007,14,2,5093
E12000007,14,3,6561
E12000007,14,4,27412
E12000007,14,5,7189
E12000007,15,0,1211
E12000007,15,1,535
E12000007,15,2,1003
