,Regions,Passports held (18 categories) Code,Passports held (18 categories),Disability (3 categories) Code,Disability (3 categories),Occupation (current) (10 categories) Code,Occupation (current) (10 categories),Observation
E12000002,North West,3,Europe: Other Europe: EU Member countries,-8,Does not apply,2,2. Professional occupations,0
E12000002,North West,3,Europe: Other Europe: EU Member countries,-8,Does not apply,3,3. Associate professional and technical occupations,0
E12000002,North West,3,Europe: Other Europe: EU Member countries,-8,Does not apply,4,4. Administrative and secretarial occupations,0
E12000002,North West,3,Europe: Other Europe: EU Member countries,-8,Does not apply,5,5. Skilled trades occupations,0
E12000002,North West,3,Europe: Other Europe: EU Member countries,-8,Does not apply,6,"6. Caring, leisure and other service occupations",0
E12000002,North West,3,Europe: Other Europe: EU Member countries,-8,Does not apply,7,7. Sales and customer service occupations,0
E12000002,North West,3,Europe: Other Europe: EU Member countries,-8,Does not apply,8,"8. Process, plant and machine operatives",0
E12000002,North West,3,Europe: Other Europe: EU Member countries,-8,Does not apply,9,9. Elementary occupations,0
E12000002,North West,3,Europe: Other Europe: EU Member countries,1,Disabled under the Equality Act,-8,Does not apply,11263
E12000002,North West,3,Europe: Other Europe: EU Member countries,1,Disabled under the Equality Act,1,"1. Managers, directors and senior officials",444
E12000002,North West,3,Europe: Other Europe: EU Member countries,1,Disabled under the Equality Act,2,2. Professional occupations,1063
E12000002,North West,3,Europe: Other Europe: EU Member countries,1,Disabled under the Equality Act,3,3. Associate professional and technical occupations,721
E12000002,North West,3,Europe: Other Europe: EU Member countries,1,Disabled under the Equality Act,4,4. Administrative and secretarial occupations,541
E12000002,North West,3,Europe: Other Europe: EU Member countries,1,Disabled under the Equality Act,5,5. Skilled trades occupations,693
E12000002,North West,3,Europe: Other Europe: EU Member countries,1,Disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",724
E12000002,North West,3,Europe: Other Europe: EU Member countries,1,Disabled under the Equality Act,7,7. Sales and customer service occupations,669
E12000002,North West,3,Europe: Other Europe: EU Member countries,1,Disabled under the Equality Act,8,"8. Process, plant and machine operatives",1042
E12000002,North West,3,Europe: Other Europe: EU Member countries,1,Disabled under the Equality Act,9,9. Elementary occupations,2127
E12000002,North West,3,Europe: Other Europe: EU Member countries,2,Not disabled under the Equality Act,-8,Does not apply,112398
E12000002,North West,3,Europe: Other Europe: EU Member countries,2,Not disabled under the Equality Act,1,"1. Managers, directors and senior officials",10016
E12000002,North West,3,Europe: Other Europe: EU Member countries,2,Not disabled under the Equality Act,2,2. Professional occupations,18456
E12000002,North West,3,Europe: Other Europe: EU Member countries,2,Not disabled under the Equality Act,3,3. Associate professional and technical occupations,11795
E12000002,North West,3,Europe: Other Europe: EU Member countries,2,Not disabled under the Equality Act,4,4. Administrative and secretarial occupations,9047
E12000002,North West,3,Europe: Other Europe: EU Member countries,2,Not disabled under the Equality Act,5,5. Skilled trades occupations,16989
E12000002,North West,3,Europe: Other Europe: EU Member countries,2,Not disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",12275
E12000002,North West,3,Europe: Other Europe: EU Member countries,2,Not disabled under the Equality Act,7,7. Sales and customer service occupations,10194
E12000002,North West,3,Europe: Other Europe: EU Member countries,2,Not disabled under the Equality Act,8,"8. Process, plant and machine operatives",26963
E12000002,North West,3,Europe: Other Europe: EU Member countries,2,Not disabled under the Equality Act,9,9. Elementary occupations,44149
E12000002,North West,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,-8,Does not apply,0
E12000002,North West,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,1,"1. Managers, directors and senior officials",0
E12000002,North West,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,2,2. Professional occupations,0
E12000002,North West,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,3,3. Associate professional and technical occupations,0
E12000002,North West,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,4,4. Administrative and secretarial occupations,0
E12000002,North West,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,5,5. Skilled trades occupations,0
E12000002,North West,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,6,"6. Caring, leisure and other service occupations",0
E12000002,North West,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,7,7. Sales and customer service occupations,0
E12000002,North West,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,8,"8. Process, plant and machine operatives",0
E12000002,North West,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,9,9. Elementary occupations,0
E12000002,North West,4,Europe: Other Europe: Rest of Europe,1,Disabled under the Equality Act,-8,Does not apply,437
E12000002,North West,4,Europe: Other Europe: Rest of Europe,1,Disabled under the Equality Act,1,"1. Managers, directors and senior officials",25
E12000002,North West,4,Europe: Other Europe: Rest of Europe,1,Disabled under the Equality Act,2,2. Professional occupations,32
E12000002,North West,4,Europe: Other Europe: Rest of Europe,1,Disabled under the Equality Act,3,3. Associate professional and technical occupations,23
E12000002,North West,4,Europe: Other Europe: Rest of Europe,1,Disabled under the Equality Act,4,4. Administrative and secretarial occupations,18
E12000002,North West,4,Europe: Other Europe: Rest of Europe,1,Disabled under the Equality Act,5,5. Skilled trades occupations,18
E12000002,North West,4,Europe: Other Europe: Rest of Europe,1,Disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",20
E12000002,North West,4,Europe: Other Europe: Rest of Europe,1,Disabled under the Equality Act,7,7. Sales and customer service occupations,21
E12000002,North West,4,Europe: Other Europe: Rest of Europe,1,Disabled under the Equality Act,8,"8. Process, plant and machine operatives",21
E12000002,North West,4,Europe: Other Europe: Rest of Europe,1,Disabled under the Equality Act,9,9. Elementary occupations,29
E12000002,North West,4,Europe: Other Europe: Rest of Europe,2,Not disabled under the Equality Act,-8,Does not apply,4334
E12000002,North West,4,Europe: Other Europe: Rest of Europe,2,Not disabled under the Equality Act,1,"1. Managers, directors and senior officials",574
E12000002,North West,4,Europe: Other Europe: Rest of Europe,2,Not disabled under the Equality Act,2,2. Professional occupations,888
E12000002,North West,4,Europe: Other Europe: Rest of Europe,2,Not disabled under the Equality Act,3,3. Associate professional and technical occupations,431
E12000002,North West,4,Europe: Other Europe: Rest of Europe,2,Not disabled under the Equality Act,4,4. Administrative and secretarial occupations,261
E12000002,North West,4,Europe: Other Europe: Rest of Europe,2,Not disabled under the Equality Act,5,5. Skilled trades occupations,625
E12000002,North West,4,Europe: Other Europe: Rest of Europe,2,Not disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",386
